,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,John David Crow 2 yard rush (Tommy Davis kick),7,0
1,2.0,49ers,Doug Cunningham 64 yard rush (Tommy Davis kick),14,0
2,2.0,49ers,Gary Lewis 26 yard rush (Tommy Davis kick),21,0
3,2.0,49ers,Tommy Davis 20 yard field goal,24,0
4,3.0,49ers,Tommy Davis 34 yard field goal,27,0
5,4.0,Vikings,John Beasley 4 yard pass from Ron Vander Kelen (Fred Cox kick),27,7
6,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),27,14
7,4.0,Vikings,Ron Vander Kelen 5 yard rush (Fred Cox kick),27,21
