,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,10:44,Ravens,Justin Tucker 46 yard field goal,0,3
1,1.0,0:44,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Justin Tucker kick),0,10
2,2.0,15:00,Ravens,Marquise Brown 2 yard pass from Lamar Jackson (Justin Tucker kick),0,17
3,3.0,2:40,Ravens,Justin Tucker 39 yard field goal,0,20
4,4.0,8:35,Ravens,Patrick Queen 53 yard fumble return (Justin Tucker kick),0,27
5,4.0,0:37,Bengals,Randy Bullock 38 yard field goal,3,27
