,Quarter,Time,Tm,Detail,MIA,TAM
0,1.0,,Buccaneers,Mike Alstott 3 yard pass from Trent Dilfer (Michael Husted kick),0,7
1,2.0,,Buccaneers,Mike Alstott 1 yard pass from Trent Dilfer (Michael Husted kick),0,14
2,2.0,,Dolphins,O.J. McDuffie 10 yard pass from Dan Marino (Olindo Mare kick),7,14
3,3.0,,Buccaneers,Michael Husted 22 yard field goal,7,17
4,3.0,,Buccaneers,Reidel Anthony 38 yard pass from Trent Dilfer (Michael Husted kick),7,24
5,4.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),14,24
6,4.0,,Buccaneers,Warrick Dunn 58 yard pass from Trent Dilfer (Michael Husted kick),14,31
7,4.0,,Dolphins,Fred Barnett 1 yard pass from Dan Marino (Olindo Mare kick),21,31
