,Quarter,Time,Tm,Detail,ATL,CLE
0,1.0,8:12,Browns,Phil Dawson 40 yard field goal,0,3
1,2.0,9:18,Browns,William Green 21 yard rush (Phil Dawson kick),0,10
2,2.0,3:42,Falcons,Brian Finneran 15 yard pass from Michael Vick (Jay Feely kick),7,10
3,3.0,9:41,Falcons,Jay Feely 42 yard field goal,10,10
4,3.0,5:17,Falcons,Jay Feely 49 yard field goal,13,10
5,3.0,1:28,Falcons,Jay Feely 30 yard field goal,16,10
6,4.0,6:58,Browns,Kevin Johnson 15 yard pass from Kelly Holcomb (Phil Dawson kick),16,17
7,4.0,3:53,Browns,William Green 64 yard rush (Phil Dawson kick),16,24
