,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Mark van Eeghen 2 yard rush (George Blanda kick),7,0
1,2.0,Broncos,Riley Odoms 1 yard pass from Steve Ramsey (Jim Turner kick),7,7
2,2.0,Broncos,Jim Turner 53 yard field goal,7,10
3,3.0,Broncos,Jack Dolbin 7 yard pass from Steve Ramsey (Jim Turner kick),7,17
4,3.0,Raiders,Fred Biletnikoff 21 yard pass from Ken Stabler (George Blanda kick),14,17
5,3.0,Raiders,Cliff Branch 16 yard pass from Ken Stabler (George Blanda kick),21,17
6,4.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),28,17
7,4.0,Raiders,Pete Banaszak 2 yard rush (George Blanda kick),35,17
8,4.0,Raiders,Marv Hubbard 7 yard rush (George Blanda kick),42,17
