,Quarter,Tm,Detail,CHI,OAK
0,1.0,Bears,Ron Smith 94 yard kickoff return (Mac Percival kick),7,0
1,1.0,Raiders,Charlie Smith 14 yard pass from Daryle Lamonica (George Blanda kick),7,7
2,3.0,Raiders,Charlie Smith 19 yard pass from Ken Stabler (George Blanda kick),7,14
3,3.0,Bears,Ross Brupbacher special teams fumble recovery in end zone (Mac Percival kick),14,14
4,4.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),14,21
5,4.0,Raiders,Clarence Davis 45 yard rush (George Blanda kick),14,28
6,4.0,Bears,Don Shy 1 yard rush (Mac Percival kick),21,28
