,Quarter,Tm,Detail,NYG,BKN
0,1.0,Giants,Ray Flaherty 26 yard pass from Ed Danowski (Jack McBride kick),7,0
1,1.0,Giants,Dale Burnett 3 yard pass from Ed Danowski,13,0
2,2.0,Giants,Dale Burnett unknown yard pass from Jack McBride (Bo Molenda kick),20,0
3,2.0,Giants,Kink Richards 20 yard pass from Wee Willie Smith (Kink Richards kick),27,0
