,Quarter,Tm,Detail,DEN,CHI
0,1.0,Bears,Allan Ellis 22 yard interception return (Bob Thomas kick),0,7
1,2.0,Bears,Walter Payton 21 yard rush (Bob Thomas kick),0,14
2,3.0,Broncos,Jon Keyworth 13 yard pass from Norris Weese (Jim Turner kick),7,14
3,4.0,Broncos,Rick Upchurch 19 yard rush (Jim Turner kick),14,14
4,4.0,Broncos,Otis Armstrong 11 yard rush (Jim Turner kick),21,14
5,4.0,Broncos,Riley Odoms 12 yard rush (Jim Turner kick),28,14
