,Quarter,Tm,Detail,BAL,SDG
0,2.0,Colts,Jim O'Brien 25 yard field goal,3,0
1,3.0,Chargers,Gary Garrison 65 yard pass from John Hadl (Mike Mercer kick),3,7
2,3.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),10,7
3,4.0,Colts,Jim O'Brien 34 yard field goal,13,7
4,4.0,Chargers,Gary Garrison 43 yard pass from John Hadl (Mike Mercer kick),13,14
5,4.0,Colts,Jim O'Brien 28 yard field goal,16,14
