,Quarter,Time,Tm,Detail,DET,ARI
0,1.0,12:02,Cardinals,Michael Floyd 42 yard pass from Drew Stanton (Chandler Catanzaro kick),0,7
1,1.0,6:06,Cardinals,Michael Floyd 12 yard pass from Drew Stanton (Chandler Catanzaro kick),0,14
2,1.0,2:46,Lions,Matt Prater 50 yard field goal,3,14
3,2.0,0:25,Lions,Matt Prater 28 yard field goal,6,14
