,Quarter,Tm,Detail,TAM,DET
0,1.0,Buccaneers,Jerry Bell 4 yard pass from Jack Thompson (David Warnke kick),7,0
1,2.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),7,7
2,2.0,Lions,Eddie Murray 34 yard field goal,7,10
3,2.0,Buccaneers,Kevin House 20 yard pass from Jack Thompson,13,10
4,3.0,Lions,Eddie Murray 36 yard field goal,13,13
5,4.0,Lions,Eddie Murray 38 yard field goal,13,16
6,4.0,Lions,Jeff Chadwick 6 yard pass from Gary Danielson (Eddie Murray kick),13,23
7,4.0,Buccaneers,Gerald Carter 13 yard pass from Jack Thompson (George Yarno kick),20,23
