,Quarter,Tm,Detail,CLE,NWE
0,1.0,Browns,Matt Stover 29 yard field goal,3,0
1,1.0,Browns,Matt Stover 28 yard field goal,6,0
2,2.0,Browns,Matt Stover 21 yard field goal,9,0
3,2.0,Patriots,Kevin Turner 19 yard pass from Hugh Millen (Charlie Baumann kick),9,7
4,3.0,Patriots,Ben Coates 22 yard pass from Hugh Millen (Charlie Baumann kick),9,14
5,3.0,Patriots,Charlie Baumann 30 yard field goal,9,17
6,4.0,Browns,Matt Stover 32 yard field goal,12,17
7,4.0,Browns,Scott Galbraith 6 yard pass from Mike Tomczak (Matt Stover kick),19,17
