,Quarter,Tm,Detail,RAM,TAM
0,1.0,Rams,Jim Youngblood 31 yard interception return,6,0
1,2.0,Buccaneers,Larry Mucker 15 yard pass from Doug Williams (Neil O'Donoghue kick),6,7
2,2.0,Buccaneers,Ricky Bell 5 yard rush (Neil O'Donoghue kick),6,14
3,2.0,Buccaneers,Jimmie Giles 29 yard pass from Doug Williams (Neil O'Donoghue kick),6,21
