,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,,Rams,Jeff Wilkins 38 yard field goal,3,0
1,2.0,,Falcons,Bert Emanuel 28 yard pass from Chris Chandler (Morten Andersen kick),3,7
2,2.0,,Rams,Lawrence Phillips 16 yard rush (Jeff Wilkins kick),10,7
3,2.0,,Falcons,Bert Emanuel 33 yard pass from Chris Chandler (Morten Andersen kick),10,14
4,2.0,,Rams,Isaac Bruce 29 yard pass from Tony Banks (Jeff Wilkins kick),17,14
5,2.0,,Rams,Isaac Bruce 9 yard pass from Tony Banks (Jeff Wilkins kick),24,14
6,2.0,,Falcons,Morten Andersen 37 yard field goal,24,17
7,3.0,,Falcons,Jamal Anderson 2 yard rush (Morten Andersen kick),24,24
8,3.0,,Falcons,Terance Mathis 11 yard pass from Chris Chandler (Morten Andersen kick),24,31
9,4.0,,Rams,Tony Banks 1 yard rush (Jeff Wilkins kick),31,31
10,4.0,,Falcons,Morten Andersen 27 yard field goal,31,34
