,Quarter,Tm,Detail,SDG,IND
0,1.0,Chargers,Rolf Benirschke 19 yard field goal,3,0
1,1.0,Chargers,Wes Chandler 30 yard pass from Dan Fouts (Rolf Benirschke kick),10,0
2,3.0,Colts,Dean Biasucci 27 yard field goal,10,3
3,4.0,Chargers,Curtis Adams 1 yard rush (Rolf Benirschke kick),17,3
