,Quarter,Tm,Detail,STL,CLE
0,1.0,Browns,Jim Brown 1 yard rush (Sam Baker kick),0,7
1,2.0,Browns,Ray Renfro 66 yard pass from Milt Plum (Sam Baker kick),0,14
2,2.0,Cardinals,Joe Childress 52 yard pass from John David Crow (Bobby Joe Conrad kick),7,14
3,2.0,Browns,Leon Clarke 5 yard pass from Milt Plum (Sam Baker kick),7,21
4,3.0,Cardinals,Gerry Perry 40 yard field goal,10,21
5,3.0,Cardinals,Frank Mestnik 5 yard rush (Bobby Joe Conrad kick),17,21
6,4.0,Cardinals,Gerry Perry 28 yard field goal,20,21
7,4.0,Browns,Jim Brown 3 yard rush (Sam Baker kick),20,28
8,4.0,Cardinals,Sonny Randle 43 yard pass from John Roach (Bobby Joe Conrad kick),27,28
