,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,,Jets,Adrian Murrell 24 yard rush (John Hall kick),7,0
1,2.0,,Jets,John Hall 53 yard field goal,10,0
2,2.0,,Jets,John Hall 37 yard field goal,13,0
3,3.0,,Colts,Cary Blanchard 48 yard field goal,13,3
4,4.0,,Colts,Marshall Faulk 1 yard rush (Cary Blanchard kick),13,10
5,4.0,,Jets,John Hall 23 yard field goal,16,10
6,4.0,,Colts,"Safety, ODonnell threw the ball out of end zone",16,12
