,Quarter,Time,Tm,Detail,CHI,SDG
0,2,14:13,Bears,Robbie Gould 27 yard field goal,3,0
1,3,0:45,Chargers,Antonio Gates 17 yard pass from LaDainian Tomlinson (Nate Kaeding kick),3,7
2,4,9:09,Chargers,LaDainian Tomlinson 7 yard rush (Nate Kaeding kick),3,14
