,Quarter,Time,Tm,Detail,GNB,PHI
0,1.0,10:07,Packers,Dave Rayner 23 yard field goal,3,0
1,2.0,9:43,Eagles,Donovan McNabb 6 yard rush (David Akers kick),3,7
2,2.0,5:32,Packers,Dave Rayner 54 yard field goal,6,7
3,2.0,1:45,Packers,Dave Rayner 46 yard field goal,9,7
4,3.0,8:21,Eagles,David Akers 40 yard field goal,9,10
5,3.0,5:08,Eagles,Greg Lewis 45 yard pass from Donovan McNabb (David Akers kick),9,17
6,3.0,3:51,Eagles,Greg Lewis 30 yard pass from Donovan McNabb (David Akers kick),9,24
7,4.0,12:41,Eagles,Donovan McNabb 15 yard rush (David Akers kick),9,31
