,Quarter,Time,Tm,Detail,DEN,CIN
0,1.0,,Bengals,Doug Pelfrey 44 yard field goal,0,3
1,1.0,,Broncos,Shannon Sharpe 11 yard pass from John Elway (Jason Elam kick),7,3
2,2.0,,Bengals,Jeff Blake 2 yard rush (Doug Pelfrey kick),7,10
3,3.0,,Broncos,Anthony Miller 23 yard pass from John Elway (Jason Elam kick),14,10
