,Quarter,Tm,Detail,NYY,RAM
0,1.0,Rams,Elroy Hirsch 41 yard pass from Norm Van Brocklin (Tom Fears kick),0,7
1,1.0,Rams,Dick Hoerner 22 yard rush (Tom Fears kick),0,14
2,1.0,Rams,Vitamin Smith 67 yard pass from Norm Van Brocklin (Tom Fears kick),0,21
3,2.0,Rams,Norm Van Brocklin 1 yard rush (Tom Fears kick),0,28
4,2.0,Rams,Elroy Hirsch 47 yard pass from Norm Van Brocklin,0,34
5,2.0,Yanks,Buddy Young 79 yard punt return (Harvey Johnson kick),7,34
6,3.0,Rams,Elroy Hirsch 26 yard pass from Norm Van Brocklin (Tom Fears kick),7,41
7,4.0,Yanks,Art Tait 30 yard fumble return (Harvey Johnson kick),14,41
8,4.0,Rams,Elroy Hirsch 1 yard pass from Norm Van Brocklin (Tom Fears kick),14,48
9,4.0,Rams,Dan Towler 1 yard rush,14,54
