,Quarter,Time,Tm,Detail,LAR,NOR
0,1,10:04,Saints,Wil Lutz 37 yard field goal,0,3
1,1,7:06,Saints,Wil Lutz 29 yard field goal,0,6
2,1,1:35,Saints,Garrett Griffin 5 yard pass from Drew Brees (Wil Lutz kick),0,13
3,2,9:45,Rams,Greg Zuerlein 36 yard field goal,3,13
4,2,0:23,Rams,Todd Gurley 6 yard rush (Greg Zuerlein kick),10,13
5,3,8:34,Saints,Taysom Hill 2 yard pass from Drew Brees (Wil Lutz kick),10,20
6,3,3:06,Rams,Tyler Higbee 1 yard pass from Jared Goff (Greg Zuerlein kick),17,20
7,4,5:03,Rams,Greg Zuerlein 24 yard field goal,20,20
8,4,1:41,Saints,Wil Lutz 31 yard field goal,20,23
9,4,0:15,Rams,Greg Zuerlein 48 yard field goal,23,23
10,OT,11:43,Rams,Greg Zuerlein 57 yard field goal,26,23
