,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Mike Cofer 52 yard field goal,3,0
1,1.0,Saints,Morten Andersen 41 yard field goal,3,3
2,2.0,Saints,Morten Andersen 39 yard field goal,3,6
3,2.0,Saints,Morten Andersen 28 yard field goal,3,9
4,3.0,49ers,Brent Jones 4 yard pass from Joe Montana (Mike Cofer kick),10,9
5,4.0,Saints,Morten Andersen 32 yard field goal,10,12
6,4.0,49ers,Mike Cofer 38 yard field goal,13,12
