,Quarter,Tm,Detail,BAL,MIN
0,1,Vikings,Dave Osborn 2 yard rush (Fred Cox kick),0,7
1,3,Vikings,Fred Cox 32 yard field goal,0,10
2,4,Colts,Jim O'Brien 40 yard field goal,3,10
