,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),7,0
1,2.0,,Chargers,Eric Metcalf 14 yard pass from Craig Whelihan (Greg Davis kick),7,7
2,2.0,,Chiefs,Lake Dawson 21 yard pass from Rich Gannon (Pete Stoyanovich kick),14,7
3,3.0,,Chiefs,Pete Stoyanovich 40 yard field goal,17,7
4,3.0,,Chiefs,"Safety, Thomas sacked Philcox in end zone",19,7
5,3.0,,Chiefs,Pete Stoyanovich 48 yard field goal,22,7
6,4.0,,Chiefs,Mark McMillian 87 yard interception return (Pete Stoyanovich kick),29,7
