,Quarter,Time,Tm,Detail,PHI,IND
0,1.0,,Colts,Marshall Faulk 13 yard rush (Cary Blanchard kick),0,7
1,1.0,,Eagles,Gary Anderson 31 yard field goal,3,7
2,2.0,,Colts,Cary Blanchard 30 yard field goal,3,10
3,2.0,,Colts,Jason Belser 44 yard interception return (Cary Blanchard kick),3,17
4,2.0,,Colts,Cary Blanchard 42 yard field goal,3,20
5,2.0,,Colts,Cary Blanchard 51 yard field goal,3,23
6,3.0,,Colts,Marvin Harrison 20 yard pass from Kerwin Bell (Cary Blanchard kick),3,30
7,4.0,,Colts,Marshall Faulk 7 yard rush (Cary Blanchard kick),3,37
8,4.0,,Eagles,Irving Fryar 8 yard pass from Mark Rypien (Gary Anderson kick),10,37
