,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Earl Gros 2 yard rush (Sam Baker kick),7,0
1,1.0,Eagles,Pete Retzlaff 13 yard pass from Norm Snead,13,0
2,1.0,Eagles,Ollie Matson 8 yard rush (Sam Baker kick),20,0
3,1.0,Eagles,Maxie Baughan 33 yard interception return (Sam Baker kick),27,0
4,2.0,Eagles,Jim Nettles 56 yard interception return (Sam Baker kick),34,0
5,2.0,Steelers,Gary Ballman 20 yard pass from Tommy Wade (Mike Clark kick),34,7
6,2.0,Steelers,Marv Woodson 61 yard interception return,34,13
7,3.0,Eagles,George Tarasovic 40 yard interception return,40,13
8,4.0,Eagles,Izzy Lang 8 yard rush (Sam Baker kick),47,13
