,Quarter,Time,Tm,Detail,BAL,WAS
0,1.0,,Ravens,Derrick Alexander 13 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,1.0,,Redskins,Leslie Shepherd 15 yard pass from Gus Frerotte (Scott Blanton kick),7,7
2,2.0,,Ravens,Bam Morris 4 yard rush (Matt Stover kick),14,7
3,3.0,,Ravens,Matt Stover 34 yard field goal,17,7
4,3.0,,Redskins,Brian Mitchell 6 yard pass from Gus Frerotte (Scott Blanton kick),17,14
5,4.0,,Ravens,Matt Stover 28 yard field goal,20,14
6,4.0,,Redskins,Scott Blanton 26 yard field goal,20,17
