,Quarter,Time,Tm,Detail,NWE,ATL
0,1.0,2:35,Falcons,Shawn Jefferson 19 yard pass from Chris Chandler (Jay Feely kick),0,7
1,2.0,9:00,Patriots,Kevin Faulk 4 yard pass from Tom Brady (Adam Vinatieri kick),7,7
2,2.0,4:26,Patriots,Adam Vinatieri 48 yard field goal,10,7
3,2.0,0:15,Patriots,Marc Edwards 15 yard pass from Tom Brady (Adam Vinatieri kick),17,7
4,3.0,0:34,Patriots,Troy Brown 44 yard pass from Tom Brady (Adam Vinatieri kick),24,7
5,4.0,11:28,Falcons,Jay Feely 20 yard field goal,24,10
