,Quarter,Tm,Detail,DET,ATL
0,1.0,Lions,Billy Gambrell 26 yard pass from Bill Munson (Wayne Walker kick),7,0
1,2.0,Falcons,Cannonball Butler 60 yard rush (Bob Etter kick),7,7
2,3.0,Lions,Billy Gambrell 7 yard pass from Bill Munson (Wayne Walker kick),14,7
3,4.0,Lions,Billy Gambrell 22 yard pass from Bill Munson (Wayne Walker kick),21,7
4,4.0,Lions,Wayne Walker 36 yard field goal,24,7
