,Quarter,Time,Tm,Detail,NWE,CLE
0,1.0,11:49,Browns,Phil Dawson 38 yard field goal,0,3
1,1.0,11:11,Browns,Peyton Hillis 2 yard rush (Phil Dawson kick),0,10
2,2.0,8:43,Patriots,Aaron Hernandez 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,10
3,2.0,3:23,Browns,Chansi Stuckey 11 yard rush (Phil Dawson kick),7,17
4,3.0,5:53,Browns,Colt McCoy 16 yard rush (Phil Dawson kick),7,24
5,4.0,10:45,Browns,Phil Dawson 37 yard field goal,7,27
6,4.0,6:37,Patriots,Aaron Hernandez 1 yard pass from Tom Brady (Wes Welker kick),14,27
7,4.0,2:38,Browns,Peyton Hillis 35 yard rush (Phil Dawson kick),14,34
