,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,9:24,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),0,7
1,1.0,6:51,Chargers,LaDainian Tomlinson 27 yard rush (Nate Kaeding kick),0,14
2,2.0,6:54,Raiders,Thomas Howard 66 yard interception return (Sebastian Janikowski kick),7,14
3,3.0,9:42,Chargers,LaDainian Tomlinson 13 yard rush (Nate Kaeding kick),7,21
4,4.0,5:18,Raiders,Zach Miller 1 yard pass from Daunte Culpepper (Sebastian Janikowski kick),14,21
5,4.0,2:43,Chargers,LaDainian Tomlinson 41 yard rush (Nate Kaeding kick),14,28
