,Quarter,Tm,Detail,SFO,TAM
0,1.0,49ers,Jerry Rice 12 yard pass from Steve Young (Mike Cofer kick),7,0
1,1.0,49ers,Mike Cofer 44 yard field goal,10,0
2,2.0,49ers,Ralph Tamm 1 yard offensive fumble return (Mike Cofer kick),17,0
3,2.0,Buccaneers,Gary Anderson 14 yard pass from Craig Erickson (Michael Husted kick),17,7
4,2.0,Buccaneers,Vince Workman 18 yard pass from Craig Erickson (Michael Husted kick),17,14
5,2.0,49ers,Jerry Rice 51 yard pass from Steve Young (Mike Cofer kick),24,14
6,2.0,49ers,Jerry Rice 9 yard pass from Steve Young (Mike Cofer kick),31,14
7,3.0,Buccaneers,Vince Workman 3 yard rush (Michael Husted kick),31,21
8,3.0,49ers,Jerry Rice 28 yard pass from Steve Young (Mike Cofer kick),38,21
9,4.0,49ers,Ricky Watters 1 yard rush (Mike Cofer kick),45,21
