,Quarter,Tm,Detail,ATL,PHI
0,1.0,Eagles,Mark Moseley 41 yard field goal,0,3
1,1.0,Falcons,Jim Mitchell 2 yard pass from Bob Berry (Ken Vinyard kick),7,3
2,2.0,Eagles,Mark Moseley 17 yard field goal,7,6
3,2.0,Falcons,Ken Vinyard 15 yard field goal,10,6
4,3.0,Falcons,Ken Vinyard 32 yard field goal,13,6
5,4.0,Eagles,Steve Preece 21 yard defensive fumble return (Mark Moseley kick),13,13
