,Quarter,Tm,Detail,NYG,CLE
0,2.0,Giants,Charlie Conerly 1 yard rush (Pat Summerall kick),7,0
1,4.0,Giants,Pat Summerall 31 yard field goal,10,0
2,4.0,Browns,Bobby Mitchell 33 yard pass from Milt Plum,10,6
