,Quarter,Time,Tm,Detail,WAS,MIN
0,1.0,5:25,Vikings,Dan Bailey 50 yard field goal,0,3
1,2.0,14:03,Redskins,Dustin Hopkins 21 yard field goal,3,3
2,2.0,7:29,Vikings,Dan Bailey 29 yard field goal,3,6
3,2.0,2:00,Redskins,Dustin Hopkins 30 yard field goal,6,6
4,2.0,0:11,Vikings,Dalvin Cook 4 yard rush (Dan Bailey kick),6,13
5,3.0,8:37,Vikings,Dan Bailey 27 yard field goal,6,16
6,3.0,5:15,Redskins,Dustin Hopkins 43 yard field goal,9,16
7,4.0,10:40,Vikings,Dan Bailey 40 yard field goal,9,19
