,Quarter,Tm,Detail,GNB,PIT
0,1.0,Packers,Larry Krause 100 yard kickoff return,6,0
1,1.0,Steelers,Allan Watson 15 yard field goal,6,3
2,3.0,Steelers,Dave Smith 87 yard pass from Terry Bradshaw,6,9
3,3.0,Packers,Rich McGeorge 13 yard pass from Bart Starr (Dale Livingston kick),13,9
4,4.0,Steelers,Allan Watson 45 yard field goal,13,12
5,4.0,Packers,John Hilton 65 yard pass from Bart Starr (Dale Livingston kick),20,12
