,Quarter,Tm,Detail,CLE,PRT
0,1.0,Indians,Algy Clark 9 yard rush,6,0
1,1.0,Spartans,Bill McKalip 63 yard pass from Glenn Presnell (Glenn Presnell kick),6,7
2,2.0,Spartans,Gene Alford 32 yard pass from Glenn Presnell (Glenn Presnell kick),6,14
