,Quarter,Time,Tm,Detail,SEA,CHI
0,1.0,12:08,Bears,Greg Olsen 58 yard pass from Jay Cutler (Robbie Gould kick),0,7
1,1.0,1:19,Bears,Chester Taylor 1 yard rush (Robbie Gould kick),0,14
2,2.0,10:01,Bears,Jay Cutler 6 yard rush (Robbie Gould kick),0,21
3,3.0,4:12,Bears,Jay Cutler 9 yard rush (Robbie Gould kick),0,28
4,3.0,1:52,Seahawks,Olindo Mare 30 yard field goal,3,28
5,4.0,11:21,Seahawks,Mike Williams 2 yard pass from Matt Hasselbeck (Olindo Mare kick),10,28
6,4.0,4:40,Bears,Kellen Davis 39 yard pass from Jay Cutler (Robbie Gould kick),10,35
7,4.0,2:16,Seahawks,Mike Williams 3 yard pass from Matt Hasselbeck (Olindo Mare kick),17,35
8,4.0,1:24,Seahawks,Brandon Stokley 9 yard pass from Matt Hasselbeck (Olindo Mare kick),24,35
