,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Dick Poillon 3 yard pass from Sammy Baugh (Dick Poillon kick),0,7
1,2.0,Redskins,Paul McKee 4 yard pass from Sammy Baugh (Dick Poillon kick),0,14
2,2.0,Cardinals,Mal Kutner 19 yard pass from Paul Christman (Pat Harder kick),7,14
3,2.0,Redskins,Dick Poillon 20 yard field goal,7,17
4,3.0,Redskins,Hugh Taylor 34 yard pass from Sammy Baugh (Dick Poillon kick),7,24
5,3.0,Redskins,Sal Rosato 16 yard pass from Sammy Baugh (Dick Poillon kick),7,31
6,3.0,Cardinals,Pat Harder 1 yard rush (Pat Harder kick),14,31
7,4.0,Redskins,Paul McKee 28 yard pass from Sammy Baugh (Dick Poillon kick),14,38
8,4.0,Redskins,George Wilde 9 yard pass from Sammy Baugh (Dick Poillon kick),14,45
9,4.0,Cardinals,Elmer Angsman 1 yard rush (Pat Harder kick),21,45
