,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Preston Pearson 96 yard kickoff return (Lou Michaels kick),7,0
1,2.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),14,0
2,2.0,49ers,Dick Witcher 59 yard pass from John Brodie (Dennis Patera kick),14,7
3,2.0,Colts,Jerry Hill 15 yard pass from Earl Morrall (Lou Michaels kick),21,7
4,4.0,Colts,John Mackey 33 yard pass from Earl Morrall (Lou Michaels kick),28,7
5,4.0,Colts,John Mackey 6 yard pass from Johnny Unitas (Lou Michaels kick),35,7
6,4.0,49ers,Bill Tucker 1 yard rush (Dennis Patera kick),35,14
7,4.0,Colts,Timmy Brown 2 yard rush (Lou Michaels kick),42,14
