,Quarter,Tm,Detail,NYJ,HOU
0,1,Oilers,Ernest Givins 22 yard pass from Cody Carlson (Al Del Greco kick),0,7
1,2,Oilers,Gary Brown 8 yard pass from Cody Carlson (Al Del Greco kick),0,14
2,3,Oilers,Al Del Greco 38 yard field goal,0,17
3,4,Oilers,Gary Brown 16 yard rush (Al Del Greco kick),0,24
