,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Rafael Septien 33 yard field goal,0,3
1,1.0,49ers,Delvin Williams 17 yard pass from Jim Plunkett (Tom Wittum kick),7,3
2,2.0,Rams,Lawrence McCutcheon 6 yard rush (Rafael Septien kick),7,10
3,2.0,Rams,John Cappelletti 1 yard rush (Rafael Septien kick),7,17
4,3.0,49ers,Delvin Williams 3 yard rush (Tom Wittum kick),14,17
5,4.0,Rams,Rafael Septien 24 yard field goal,14,20
6,4.0,Rams,John Cappelletti 1 yard rush (Rafael Septien kick),14,27
7,4.0,Rams,Lawrence McCutcheon 1 yard rush (Rafael Septien kick),14,34
