,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,,Cowboys,Richie Cunningham 33 yard field goal,3,0
1,1.0,,Cowboys,Michael Irvin 10 yard pass from Troy Aikman (Richie Cunningham kick),10,0
2,2.0,,Cowboys,Deion Sanders 69 yard punt return (Richie Cunningham kick),17,0
3,3.0,,Cowboys,David LaFleur 9 yard pass from Troy Aikman (Richie Cunningham kick),24,0
4,3.0,,Cowboys,Richie Cunningham 25 yard field goal,27,0
5,4.0,,Cowboys,Emmitt Smith 15 yard rush (Richie Cunningham kick),34,0
