,Quarter,Tm,Detail,STL,RAM
0,1.0,Rams,David Ray 27 yard field goal,0,3
1,1.0,Cardinals,Jim Bakken 9 yard field goal,3,3
2,2.0,Rams,Willie Ellison 3 yard pass from Roman Gabriel (David Ray kick),3,10
3,2.0,Rams,Billy Truax 3 yard pass from Roman Gabriel (David Ray kick),3,17
4,3.0,Rams,Alvin Haymond 98 yard kickoff return (David Ray kick),3,24
5,3.0,Cardinals,Jim Bakken 17 yard field goal,6,24
6,4.0,Cardinals,Jackie Smith 59 yard pass from Jim Hart (Jim Bakken kick),13,24
7,4.0,Rams,David Ray 11 yard field goal,13,27
8,4.0,Rams,Jack Snow 15 yard pass from Roman Gabriel (David Ray kick),13,34
