,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),0,7
1,1.0,Cardinals,Willard Harrell 62 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,1.0,Cowboys,Ron Springs 4 yard rush (Rafael Septien kick),7,14
3,2.0,Cowboys,Rafael Septien 47 yard field goal,7,17
4,2.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),7,24
5,2.0,Cardinals,Theotis Brown 11 yard rush (Neil O'Donoghue kick),14,24
6,2.0,Cowboys,Rafael Septien 32 yard field goal,14,27
7,3.0,Cowboys,Rafael Septien 25 yard field goal,14,30
8,4.0,Cardinals,Neil O'Donoghue 24 yard field goal,17,30
