,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Mike Bass 28 yard interception return (Mark Moseley kick),7,0
1,1.0,Giants,Pete Gogolak 33 yard field goal,7,3
2,2.0,Redskins,Larry Brown 5 yard rush,13,3
3,3.0,Giants,Doug Kotar 6 yard rush (Pete Gogolak kick),13,10
