,Quarter,Tm,Detail,MIN,GNB
0,1,Packers,Verne Lewellen 1 yard rush,0,6
1,2,Packers,Cully Lidberg 1 yard rush,0,12
2,3,Packers,Paul Fitzgibbon 28 yard pass from Arnie Herber (Bo Molenda kick),0,19
