,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Roy Gerela 49 yard field goal,0,3
1,1.0,Oilers,Mack Alston 11 yard pass from Dan Pastorini (Skip Butler kick),7,3
2,2.0,Steelers,Barry Pearson 15 yard pass from Terry Bradshaw (Roy Gerela kick),7,10
3,2.0,Steelers,Steve Davis 3 yard pass from Terry Bradshaw (Roy Gerela kick),7,17
4,3.0,Steelers,Roy Gerela 31 yard field goal,7,20
5,3.0,Steelers,Jack Ham defensive fumble recovery in end zone (Roy Gerela kick),7,27
6,4.0,Steelers,Roy Gerela 20 yard field goal,7,30
7,4.0,Steelers,Roy Gerela 42 yard field goal,7,33
