,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Billy Johnson 87 yard punt return (Toni Fritsch kick),0,7
1,1.0,Oilers,Toni Fritsch 25 yard field goal,0,10
2,1.0,Browns,Cleo Miller 6 yard rush (Don Cockroft kick),7,10
3,1.0,Browns,Clarence Scott 49 yard interception return (Don Cockroft kick),14,10
4,2.0,Browns,Oscar Roan 8 yard pass from Brian Sipe (Don Cockroft kick),21,10
5,2.0,Oilers,Toni Fritsch 37 yard field goal,21,13
6,2.0,Oilers,John Hadl 6 yard rush (Toni Fritsch kick),21,20
7,4.0,Oilers,Toni Fritsch 36 yard field goal,21,23
8,4.0,Browns,Don Cockroft 30 yard field goal,24,23
