,Quarter,Tm,Detail,CHI,DET
0,2,Lions,Vern Huffman 1 yard rush (Monk Moscrip kick),0,7
1,3,Bears,Bill Karr 16 yard pass from Bernie Masterson (Jack Manders kick),7,7
2,4,Lions,Chuck Hanneman 23 yard pass from Vern Huffman (Regis Monahan kick),7,14
