,Quarter,Time,Tm,Detail,DAL,ARI
0,1.0,0:58,Cowboys,David LaFleur 11 yard pass from Jason Garrett (Richie Cunningham kick),7,0
1,2.0,0:15,Cardinals,Chris Jacke 24 yard field goal,7,3
2,3.0,13:10,Cardinals,Rob Moore 21 yard pass from Dave Brown (Chris Jacke kick),7,10
3,4.0,11:30,Cardinals,Chris Jacke 38 yard field goal,7,13
4,4.0,1:49,Cowboys,"Safety, Player ran out of end zone",9,13
