,Quarter,Tm,Detail,CRD,BOS
0,1.0,Redskins,Riley Smith 28 yard pass from Cliff Battles (Riley Smith kick),0,7
1,1.0,Redskins,Cliff Battles 63 yard pass from Eddie Britt,0,13
2,2.0,Cardinals,Clarence Kellogg 36 yard field goal,3,13
3,2.0,Cardinals,Versil Deskin 25 yard pass from Pug Vaughan (Clarence Kellogg kick),10,13
