,Quarter,Tm,Detail,DET,PIT
0,2.0,Steelers,Roy Gerela 11 yard field goal,0,3
1,3.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),0,10
2,3.0,Lions,Ron Jessie 84 yard pass from Greg Landry (Errol Mann kick),7,10
3,3.0,Lions,Errol Mann 40 yard field goal,10,10
4,4.0,Steelers,John McMakin 24 yard pass from Terry Bradshaw (Roy Gerela kick),10,17
5,4.0,Steelers,Ron Shanklin 6 yard pass from Terry Bradshaw (Roy Gerela kick),10,24
