,Quarter,Tm,Detail,IND,RAI
0,1,Raiders,Todd Christensen 7 yard pass from Marc Wilson (Chris Bahr kick),0,7
1,2,Raiders,Dave Casper 1 yard pass from Marc Wilson (Chris Bahr kick),0,14
2,3,Colts,Randy McMillan 1 yard rush (Raul Allegre kick),7,14
3,4,Raiders,Marc Wilson 14 yard rush (Chris Bahr kick),7,21
