,Quarter,Tm,Detail,SFO,WAS
0,1.0,49ers,Carl Monroe 95 yard kickoff return (Ray Wersching kick),7,0
1,1.0,Redskins,Mark Moseley 25 yard field goal,7,3
2,2.0,Redskins,"Safety, Montana called for intentional grounding in end zone",7,5
3,2.0,49ers,Wendell Tyler 1 yard rush (Ray Wersching kick),14,5
4,2.0,49ers,Keena Turner 65 yard defensive fumble return (Ray Wersching kick),21,5
5,2.0,Redskins,Mark Moseley 21 yard field goal,21,8
6,3.0,49ers,Wendell Tyler 4 yard rush (Ray Wersching kick),28,8
7,4.0,49ers,Russ Francis 8 yard pass from Joe Montana (Ray Wersching kick),35,8
