,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Clarence Peaks 13 yard pass from Norm Van Brocklin (Bobby Walston kick),0,7
1,1.0,Giants,Frank Gifford 39 yard pass from Charlie Conerly (Pat Summerall kick),7,7
2,1.0,Eagles,Bobby Walston 18 yard field goal,7,10
3,2.0,Giants,Pat Summerall 29 yard field goal,10,10
4,2.0,Eagles,Tommy McDonald 91 yard pass from Norm Van Brocklin (Bobby Walston kick),10,17
5,2.0,Giants,Phil King 2 yard rush (Pat Summerall kick),17,17
6,3.0,Giants,Kyle Rote 16 yard pass from Charlie Conerly (Pat Summerall kick),24,17
7,3.0,Eagles,Bobby Walston 29 yard field goal,24,20
8,4.0,Eagles,Billy Ray Barnes 1 yard rush (Bobby Walston kick),24,27
