,Quarter,Tm,Detail,WAS,MIA
0,1,Dolphins,Howard Twilley 28 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),0,14
2,4,Redskins,Mike Bass 49 yard special teams fumble return (Curt Knight kick),7,14
