,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,Dennis Partee 43 yard field goal,3,0
1,2.0,Chargers,Mike Garrett 3 yard pass from John Hadl (Dennis Partee kick),10,0
2,2.0,Chiefs,Jim Otis 3 yard pass from Len Dawson (Jan Stenerud kick),10,7
3,2.0,Chiefs,Jan Stenerud 29 yard field goal,10,10
4,3.0,Chiefs,Otis Taylor 15 yard pass from Len Dawson (Jan Stenerud kick),10,17
5,4.0,Chiefs,Warren McVea 15 yard rush (Jan Stenerud kick),10,24
6,4.0,Chiefs,Ed Podolak 7 yard rush (Jan Stenerud kick),10,31
