,Quarter,Time,Tm,Detail,DAL,NWE
0,1.0,10:14,Patriots,Adam Vinatieri 41 yard field goal,0,3
1,1.0,2:49,Cowboys,Richie Cunningham 20 yard field goal,3,3
2,2.0,6:49,Patriots,Adam Vinatieri 23 yard field goal,3,6
3,4.0,6:39,Patriots,Terry Allen 3 yard rush (Adam Vinatieri kick),3,13
4,4.0,2:50,Cowboys,Richie Cunningham 34 yard field goal,6,13
