,Quarter,Time,Tm,Detail,MIA,GNB
0,1.0,,Dolphins,Pete Stoyanovich 48 yard field goal,3,0
1,2.0,,Dolphins,Keith Jackson 3 yard pass from Dan Marino (Pete Stoyanovich kick),10,0
2,2.0,,Dolphins,Keith Byars 3 yard pass from Dan Marino (Pete Stoyanovich kick),17,0
3,3.0,,Dolphins,Terry Kirby 6 yard rush (Pete Stoyanovich kick),24,0
4,4.0,,Packers,Ed West 2 yard pass from Brett Favre (pass failed),24,6
5,4.0,,Packers,Sterling Sharpe 9 yard pass from Brett Favre (Ed West pass from Brett Favre ),24,14
