,Quarter,Tm,Detail,PRV,BKN
0,1.0,Dodgers,Stumpy Thomason 7 yard rush,0,6
1,2.0,Dodgers,Jack McBride 5 yard rush (Jack McBride kick),0,13
2,2.0,Steam Roller,Bud Edwards unknown yard pass from Curly Oden,6,13
3,3.0,Dodgers,Mike Stramiello 40 yard pass from Wild Bill Kelly,6,19
4,3.0,Dodgers,Stumpy Thomason 3 yard rush (Jack McBride kick),6,26
5,4.0,Steam Roller,Pop Williams unknown yard rush,12,26
6,4.0,Dodgers,Chuck Weimer 40 yard pass from Wild Bill Kelly (Mike Stramiello kick),12,33
