,Quarter,Tm,Detail,SDG,RAI
0,1.0,Raiders,Chris Bahr 42 yard field goal,0,3
1,1.0,Chargers,Kellen Winslow 11 yard pass from Dan Fouts (Rolf Benirschke kick),7,3
2,1.0,Raiders,Chris Bahr 36 yard field goal,7,6
3,2.0,Chargers,Rolf Benirschke 51 yard field goal,10,6
4,2.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),10,13
5,3.0,Raiders,Marcus Allen 30 yard pass from Jim Plunkett (Chris Bahr kick),10,20
6,3.0,Chargers,Rolf Benirschke 33 yard field goal,13,20
7,4.0,Chargers,Earnest Jackson 1 yard rush (Rolf Benirschke kick),20,20
8,4.0,Chargers,Rolf Benirschke 48 yard field goal,23,20
9,4.0,Chargers,Woodrow Lowe 32 yard interception return (Rolf Benirschke kick),30,20
10,4.0,Raiders,Marcus Allen 2 yard rush,30,26
11,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),30,33
