,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Jimmy Orr 17 yard pass from Johnny Unitas (Lou Michaels kick),0,7
1,1.0,Colts,Jimmy Orr 32 yard pass from Johnny Unitas (Lou Michaels kick),0,14
2,2.0,Colts,Jerry Hill 6 yard rush (Lou Michaels kick),0,21
3,2.0,Colts,John Mackey 35 yard pass from Johnny Unitas (Lou Michaels kick),0,28
4,2.0,Colts,Lou Michaels 35 yard field goal,0,31
5,3.0,Lions,Joe Don Looney 8 yard rush (Wayne Walker kick),7,31
